报表日期	20180630	20180331	20171231	20170930	20170630	20170331	20161231	20160930	20160630	20160331	20151231	20150930	20150630	20150331	20141231	20131231	20121231	19700101	
单位	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元		
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金	38823732156.00	16236580207.00	55487130917.00	35729578773.00	22719687909.00	9060275025.00	38236859615.00	27251754770.00	17247476732.00	6458070318.88	26330095267.00	17916001855.56	10723424600.00	4918383813.15	23584792400.00	19297006400.00	16369105000.00	0	
收到的税费返还	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1347900.00	622500.00	0	
收到的其他与经营活动有关的现金	558062370.00	2595724175.00	4880086246.00	1337160131.00	996433274.00	1872894592.00	604660522.00	2662748679.00	1403163746.00	1826791745.33	221513817.00	3610058990.45	2852866000.00	441408066.62	4802360000.00	1044187300.00	130494900.00	0	
经营活动现金流入小计	39381794526.00	18832304382.00	60367217163.00	37066738904.00	23716121183.00	10933169617.00	38841520137.00	29914503449.00	18650640478.00	8284862064.21	26551609084.00	21526060846.01	13576290700.00	5359791879.77	28387152400.00	20342541700.00	16500222400.00	0	
购买商品、接受劳务支付的现金	37069035032.00	14937804603.00	59437211474.00	33223523200.00	26339124079.00	14175381116.00	21567683122.00	18585506985.00	9993965978.00	4699257709.02	22665939456.00	15542414452.30	8839803500.00	5726274437.21	15779466700.00	17003217900.00	10426199100.00	0	
支付给职工以及为职工支付的现金	1850780969.00	1674288924.00	1985337409.00	1615899074.00	1156388504.00	727209169.00	1325742988.00	942047199.00	641156202.00	414885258.30	942364268.00	731029786.76	511453200.00	335879070.57	776603800.00	528223600.00	429991300.00	0	
支付的各项税费	5593373357.00	2256403850.00	4541738652.00	3787512083.00	2904098369.00	966626138.00	2776145601.00	2595573215.00	1995430285.00	876501948.45	2968652346.00	2286287663.17	1772140300.00	794605169.39	2614871700.00	2187362100.00	1915859700.00	0	
支付的其他与经营活动有关的现金	4004435076.00	2962418077.00	4888093277.00	2348800767.00	777817867.00	309443591.00	5074743832.00	5171108396.00	4986609011.00	2943505289.15	931808662.00	2376098111.34	2499120200.00	1483222174.30	5721205500.00	1815743800.00	1510753800.00	0	
经营活动现金流出小计	48517624434.00	21830915454.00	70852380812.00	40975735124.00	31177428819.00	16178660014.00	30744315543.00	27294235795.00	17617161476.00	8934150204.92	27508764732.00	20935830013.57	13622517200.00	8339980851.47	24892147800.00	21534547400.00	14282803800.00	0	
经营活动产生的现金流量净额	-9135829908.00	-2998611072.00	-10485163649.00	-3908996220.00	-7461307636.00	-5245490397.00	8097204594.00	2620267654.00	1033479002.00	-649288140.71	-957155648.00	590230832.44	-46226500.00	-2980188971.70	3495004600.00	-1192005700.00	2217418600.00	0	
二、投资活动产生的现金流量
收回投资所收到的现金	0	0	1580000.00	0	0	0	4120000.00	4120000.00	1850000.00	3800000.00	13743651.00	13743650.83	4086500.00	4086538.46	3557700.00	175000000.00	0	0	
取得投资收益所收到的现金	6211333.00	2607451.00	18164345.00	17497359.00	11500795.00	8206773.00	9312177.00	9312176.00	9312176.00	6312176.33	6255524.00	6255523.64	6000000.00	0	6552700.00	6605800.00	5041800.00	0	
处置固定资产、无形资产和其他长期资产所收回的现金净额	2093728.00	414839.00	24031568.00	48778658.00	4363963.00	3395612.00	2362805.00	918147.00	536202.00	43538.50	721225.00	485505.01	69100.00	252818.45	3051800.00	15583300.00	889200.00	0	
处置子公司及其他营业单位收到的现金净额	0	0	0	0	0	0	2066451682.00	351724849.00	349820000.00	0	0	0	0	0	43844100.00	89843300.00	0	0	
收到的其他与投资活动有关的现金	40267064840.00	0	56258812601.00	23892575640.00	23143500320.00	0	44995546073.00	9631370775.00	6884057845.00	0	11676038012.00	0	0	0	0	0	0	0	
投资活动现金流入小计	40275369901.00	3022290.00	56302588514.00	23958851657.00	23159365078.00	11602385.00	47077792737.00	9997445947.00	7245576223.00	10155714.83	11696758412.00	20484679.48	10155600.00	4339356.91	57006300.00	287032300.00	5931000.00	0	
购建固定资产、无形资产和其他长期资产所支付的现金	5229531064.00	843811439.00	4787409535.00	4980500830.00	4418492155.00	889020229.00	2951370684.00	1734951492.00	1667746171.00	285132597.33	3202140075.00	2088465084.39	1521209700.00	164189558.43	2236550700.00	203696300.00	574290900.00	0	
投资所支付的现金	2414115005.00	395289327.00	7008507232.00	5680905918.00	4592768078.00	1382601401.00	3028648492.00	2206362887.00	1693933821.00	1042500000.00	1220625000.00	961825000.00	237225000.00	95625000.00	876250000.00	50000000.00	25186600.00	0	
取得子公司及其他营业单位支付的现金净额	40259076.00	0	0	0	0	196844843.00	0	0	0	0	136094108.00	75539983.45	87147000.00	0	0	0	0	0	
支付的其他与投资活动有关的现金	40785154466.00	6578209249.00	44262382449.00	20319057108.00	15687550853.00	0	49805079166.00	5130288285.00	5167535932.00	0	7935831948.00	0	0	0	0	0	0	0	
投资活动现金流出小计	48469059611.00	7817310015.00	56058299216.00	30980463856.00	24698811086.00	2468466473.00	55785098342.00	9071602664.00	8529215924.00	1327632597.33	12494691131.00	3212977052.69	1845581700.00	346961543.28	3112800700.00	253696300.00	599477500.00	0	
投资活动产生的现金流量净额	-8193689710.00	-7814287725.00	244289298.00	-7021612199.00	-1539446008.00	-2456864088.00	-8707305605.00	925843283.00	-1283639701.00	-1317476882.50	-797932719.00	-3192492373.21	-1835426100.00	-342622186.37	-3055794500.00	33336100.00	-593546500.00	0	
三、筹资活动产生的现金流量
吸收投资收到的现金	668826391.00	211598202.00	2594975129.00	135500000.00	73500000.00	138000000.00	265650000.00	105000000.00	105000000.00	0	564786801.00	0	0	0	933790000.00	1559690900.00	0	0	
其中：子公司吸收少数股东投资收到的现金	668826391.00	211598202.00	2594975129.00	135500000.00	73500000.00	138000000.00	0	105000000.00	105000000.00	0	564786801.00	0	0	0	420000000.00	1559690900.00	0	0	
取得借款收到的现金	15778880000.00	9065106542.00	20886507600.00	23164193601.00	18563283200.00	7481000000.00	10887550469.00	12131153418.00	6206153418.00	3784643847.90	8584285277.00	7262190914.14	5142521800.00	3041000000.00	8059580300.00	12707349000.00	6249311300.00	0	
发行债券收到的现金	9917820575.00	0	9915556692.00	0	0	0	7928594400.00	5471202605.00	2975335600.00	3000000000.00	4958110000.00	0	0	0	1978520000.00	0	0	0	
收到其他与筹资活动有关的现金	12031440524.00	0	8254372136.00	2313276917.00	1083875286.00	0	975253161.00	284385652.00	280115662.00	0	3060120598.00	1407076108.00	1407076100.00	0	1429811300.00	1032951300.00	170410100.00	0	
筹资活动现金流入小计	38396967490.00	9276704744.00	41651411557.00	25612970518.00	19720658486.00	7619000000.00	20057048030.00	17991741675.00	9566604680.00	6784643847.90	17167302676.00	8669267022.14	6549597900.00	3041000000.00	12401701600.00	15299991200.00	6419721400.00	0	
偿还债务支付的现金	7384513887.00	2556490000.00	13013159490.00	6019964482.00	2337043944.00	676300145.00	8981027969.00	7656840805.00	1479534265.00	571479727.28	10418057109.00	5195720000.00	3479899600.00	1253269041.10	12350400000.00	11190496300.00	7475767900.00	0	
分配股利、利润或偿付利息所支付的现金	3063113098.00	566776521.00	2961198369.00	2083984094.00	1290836465.00	327485253.00	1141966553.00	1000289872.00	491320200.00	209585922.23	1035624774.00	868108881.39	332947900.00	144119793.67	1310650600.00	1122893200.00	1065933000.00	0	
其中：子公司支付给少数股东的股利、利润	16910837.00	0	219292541.00	192883624.00	0	0	1344457.00	89703198.00	89703198.00	31530485.54	275577456.00	45882143.00	45882100.00	0	84182300.00	65545900.00	32773000.00	0	
支付其他与筹资活动有关的现金	7750943693.00	15927242.00	6706948041.00	2973776848.00	2388639424.00	143535026.00	3294852484.00	2789895979.00	2541660948.00	281531177.97	2681476522.00	363713538.33	973875700.00	129800000.00	384158500.00	0	0	0	
筹资活动现金流出小计	18198570678.00	3139193763.00	22681305900.00	11077725424.00	6016519833.00	1147320424.00	13417847006.00	11447026656.00	4512515413.00	1062596827.48	14135158405.00	6427542419.72	4786723100.00	1527188834.77	14045209100.00	12313389500.00	8541700900.00	0	
筹资活动产生的现金流量净额	20198396812.00	6137510981.00	18970105657.00	14535245094.00	13704138653.00	6471679576.00	6639201024.00	6544715019.00	5054089267.00	5722047020.42	3032144271.00	2241724602.42	1762874800.00	1513811165.23	-1643507500.00	2986601700.00	-2121979500.00	0	
四、汇率变动对现金及现金等价物的影响	20536666.00	0	1341036.00	0	0	0	712882.00	0	0	0	-14501127.00	0	0	0	0	0	0	0	
五、现金及现金等价物净增加额	2889413860.00	-4675387816.00	8730572342.00	3604636675.00	4703385009.00	-1230674909.00	6029812895.00	10090825956.00	4803928568.00	3755281997.21	1262554777.00	-360536938.35	-118777800.00	-1808999992.84	-1204297400.00	1827932100.00	-498107400.00	0	
加:期初现金及现金等价物余额	20280892458.00	20280892458.00	11550320116.00	11550320116.00	11550320116.00	11550320116.00	5520507221.00	5520507221.00	5520507221.00	5520507221.16	4257952444.00	4257952444.46	4257952400.00	4257952444.46	5462249800.00	3634317700.00	4132425200.00	0	
六、期末现金及现金等价物余额	23170306318.00	15605504642.00	20280892458.00	15154956791.00	16253705125.00	10319645207.00	11550320116.00	15611333177.00	10324435789.00	9275789218.37	5520507221.00	3897415506.11	4139174700.00	2448952451.62	4257952400.00	5462249800.00	3634317700.00	0	
附注
净利润	2597382434.00	0	6260362659.00	0	1146488564.00	0	3155938309.00	0	860378546.00	0	2399604653.00	0	827394400.00	0	1792345600.00	1849915200.00	1557658300.00	0	
少数股东权益	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
未确认的投资损失	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
资产减值准备	13170510.00	0	29887631.00	0	0	0	0	0	0	0	242494572.00	0	0	0	0	0	0	0	
固定资产折旧、油气资产折耗、生产性物资折旧	88683883.00	0	133672792.00	0	63676505.00	0	120682209.00	0	59195454.00	0	60250160.00	0	0	0	0	0	0	0	
无形资产摊销	10856261.00	0	12776575.00	0	6694245.00	0	11560355.00	0	2164609.00	0	6368842.00	0	0	0	0	0	0	0	
长期待摊费用摊销	10901286.00	0	34245515.00	0	16363591.00	0	28149076.00	0	22669599.00	0	27779161.00	0	0	0	0	0	0	0	
待摊费用的减少	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
预提费用的增加	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
处置固定资产、无形资产和其他长期资产的损失	149694.00	0	2943208.00	0	2803763.00	0	-44393968.00	0	104159.00	0	393366.00	0	0	0	0	0	0	0	
固定资产报废损失	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
公允价值变动损失	-653276934.00	0	-910566900.00	0	-178779429.00	0	-593989634.00	0	-215923312.00	0	-815106132.00	0	0	0	0	0	0	0	
递延收益增加（减：减少）	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
预计负债	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
财务费用	577425859.00	0	449232085.00	0	304954002.00	0	367556030.00	0	110517018.00	0	210721957.00	0	0	0	0	0	0	0	
投资损失	-688900722.00	0	-538510644.00	0	-47995741.00	0	-159772688.00	0	81744993.00	0	-118641318.00	0	0	0	0	0	0	0	
递延所得税资产减少	-698460857.00	0	-822983409.00	0	-288737210.00	0	-219688091.00	0	-66231394.00	0	-74747174.00	0	0	0	0	0	0	0	
递延所得税负债增加	410052154.00	0	316472759.00	0	44788085.00	0	335725726.00	0	105993656.00	0	69871212.00	0	0	0	0	0	0	0	
存货的减少	-30497829879.00	0	-33159832832.00	0	-20407875931.00	0	-1816620927.00	0	-7817705460.00	0	-2053854329.00	0	-3282557800.00	0	-1915148500.00	-3502794400.00	620040400.00	0	
经营性应收项目的减少	-3507371120.00	0	-3450594982.00	0	-2368154389.00	0	-5553418511.00	0	3631461070.00	0	-4730371536.00	0	-207500500.00	0	-844727900.00	183137100.00	-2159258400.00	0	
经营性应付项目的增加	23055607185.00	0	21162292501.00	0	14250240140.00	0	12784107070.00	0	4464570836.00	0	4016250254.00	0	2876741400.00	0	4164724000.00	208435400.00	2087457000.00	0	
已完工尚未结算款的减少(减:增加)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
已结算尚未完工款的增加(减:减少)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
其他	0	0	0	0	0	0	0	0	0	0	0	0	-260304000.00	0	297811300.00	69301000.00	111521300.00	0	
经营活动产生现金流量净额	-9135829908.00	0	-10485163649.00	0	-7461307636.00	0	8097204594.00	0	1033479002.00	0	-957155648.00	0	-46226500.00	0	3495004600.00	-1192005700.00	2217418600.00	0	
债务转为资本	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
一年内到期的可转换公司债券	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
融资租入固定资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
现金的期末余额	23170306318.00	0	20280892458.00	0	16253705125.00	0	11550320116.00	0	10324435789.00	0	5520507221.00	0	0	0	0	0	0	0	
现金的期初余额	20280892458.00	0	11550320116.00	0	11550320116.00	0	5520507221.00	0	5520507221.00	0	4257952444.00	0	0	0	0	0	0	0	
现金等价物的期末余额	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
现金等价物的期初余额	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
现金及现金等价物的净增加额	2889413860.00	0	8730572342.00	0	4703385009.00	0	6029812895.00	0	4803928568.00	0	1262554777.00	0	0	0	0	0	0	0	
